"ids","labels","parents","values"
"Davide Zappacosta","Zappacosta","CHE",0
"Olivier Giroud","Giroud","CHE",5
"Kepa Arrizabalaga","Kepa","CHE",26
"Willy Caballero","Caballero","CHE",0
"Willian Borges Da Silva","Willian","CHE",42
"Pedro Rodríguez Ledesma","Pedro","CHE",7
"Ruben Loftus-Cheek","Loftus-Cheek","CHE",0
"Callum Hudson-Odoi","Hudson-Odoi","CHE",19
"Ross Barkley","Barkley","CHE",9
"Jorge Luiz Frello Filho","Jorginho","CHE",38
"N'Golo Kanté","Kanté","CHE",17
"Ethan Ampadu","Ampadu","CHE",0
"Christian Pulisic","Pulisic","CHE",47
"Mateo Kovacic","Kovacic","CHE",20
"Kurt Zouma","Zouma","CHE",14
"Tammy Abraham","Abraham","CHE",73
"Michy Batshuayi","Batshuayi","CHE",14
"Robert Kenedy Nunes do Nascimento","Kenedy","CHE",0
"Mason Mount","Mount","CHE",55
"Reece James","James","CHE",2
"Fikayo Tomori","Tomori","CHE",27
"Billy Gilmour","Gilmour","CHE",1
"Addji Keaninkin Marc-Israel Guehi","Guehi","CHE",0
"Patrick van Aanholt","van Aanholt","CRY",42
"James Tomkins","Tomkins","CRY",2
"Mamadou Sakho","Sakho","CRY",3
"Joel Ward","Ward","CRY",35
"Scott Dann","Dann","CRY",9
"Martin Kelly","Kelly","CRY",29
"Christian Benteke","Benteke","CRY",11
"Connor Wickham","Wickham","CRY",2
"Vicente Guaita","Guaita","CRY",32
"Wayne Hennessey","Hennessey","CRY",6
"Wilfried Zaha","Zaha","CRY",28
"Luka Milivojevic","Milivojevic","CRY",33
"Andros Townsend","Townsend","CRY",19
"Max Meyer","Meyer","CRY",6
"Jeffrey Schlupp","Schlupp","CRY",21
"James McArthur","McArthur","CRY",31
"Cheikhou Kouyaté","Kouyaté","CRY",23
"Luke Dreher","Dreher","CRY",0
"James McCarthy","McCarthy","CRY",8
"Jordan Ayew","Ayew","CRY",44
"Gary Cahill","Cahill","CRY",21
"Víctor Camarasa","Camarasa","CRY",1
"Jairo Riedewald","Riedewald","CRY",0
"Stephen Henderson","Henderson","CRY",0
"Alex Iwobi","Iwobi","EVE",24
"Lucas Digne","Digne","EVE",38
"Yerry Mina","Mina","EVE",28
"Michael Keane","Keane","EVE",29
"Seamus Coleman","Coleman","EVE",19
"Leighton Baines","Baines","EVE",0
"Cenk Tosun","Tosun","EVE",6
"Dominic Calvert-Lewin","Calvert-Lewin","EVE",28
"Jordan Pickford","Pickford","EVE",35
"Maarten Stekelenburg","Stekelenburg","EVE",0
"Richarlison de Andrade","Richarlison","EVE",46
"Gylfi Sigurdsson","Sigurdsson","EVE",29
"Bernard Anício Caldeira Duarte","Bernard","EVE",28
"Theo Walcott","Walcott","EVE",14
"Tom Davies","Davies","EVE",8
"Ademola Lookman","Lookman","EVE",0
"Idrissa Gueye","Gueye","EVE",0
"Morgan Schneiderlin","Schneiderlin","EVE",7
"Fabian Delph","Delph","EVE",6
"André Filipe Tavares Gomes","André Gomes","EVE",13
"Lewis Gibson","Gibson","EVE",0
"Mason Holgate","Holgate","EVE",7
"Jonas Lössl","Lössl","EVE",0
"Moise Kean","Kean","EVE",14
